V1,Breast_pvalue,reject,fdr_pvalue
FADD,0.230760638397928,False,0.2854495758217144
FANCA,0.0754693098519462,False,0.1486236101992315
FANCD2,0.0238150102032164,False,0.08687066221855073
FANCG,0.0075399098399054,False,0.05628630368859613
FAP,0.334360773357384,False,0.3650673749922458
FAS,0.0970589561414388,False,0.16978705679238068
FASLG,0.006906043993177,False,0.05341783426047752
FBP1,0.0119501891051239,False,0.06557283252555167
FBP2,0.424170654533704,False,0.4413574719783435
FEN1,0.0568238444481554,False,0.12800318644110795
FGF1,0.182375986411572,False,0.24649554373942992
FGF2,0.0501125237878124,False,0.11871675377038952
FH,0.0148253010787289,False,0.07614274634035163
FHIT,0.0175788507874841,False,0.07692094023310216
FLT1,0.0077383936984698,False,0.05668724039776849
FOS,0.275137417246155,False,0.3154253962000563
FOXD3,0.102389563112905,False,0.1742836889673368
FOXO3,0.021118425622715,False,0.08167487499869297
FST,0.328792353204274,False,0.3615126535840955
G6PC3,0.145055362148479,False,0.2160685440819571
G6PD,0.153440579436169,False,0.22136820673712473
GADD45A,0.152288615277521,False,0.22069817383333742
GADD45B,0.0305092648168042,False,0.0999334082264709
GADD45G,0.126631894793496,False,0.19637119917252283
GALM,0.0779451473825421,False,0.15072525487828925
GAR1,0.0420687001336653,False,0.11262998355740551
GBE1,0.0906067326362027,False,0.16525432486489244
GCK,0.120717988541271,False,0.19174549178152617
GPI,0.163757542048814,False,0.2320802251552728
GSK3A,0.288126687123002,False,0.3262386827741927
GSK3B,0.210127906150767,False,0.2645139524486126
GYS1,0.177348015343804,False,0.24243716137188795
H6PD,0.161663008202261,False,0.230127829857764
HDAC1,0.0009209492070152,True,0.025669732387605785
HDAC2,0.0474778060739031,False,0.11559774842036587
HDAC3,0.151601797617927,False,0.22069817383333742
HDAC4,0.0464023423471516,False,0.11453027383727402
HDAC5,0.0064092023501153,False,0.052811410143894344
HDAC6,0.122362307743961,False,0.19254069012652686
HDAC7,0.184595361806337,False,0.2489710552093873
HGF,0.0091451838147341,False,0.06180218956904519
HIC1,0.0968357269537748,False,0.16978705679238068
HIF1A,0.145832652716236,False,0.21637939578998347
HK2,0.351407803072385,False,0.3804448728034927
HK3,0.122355690046392,False,0.19254069012652686
HRAS,0.0465316714528682,False,0.11453027383727402
HRK,0.185712142095452,False,0.24967758238983107
HSPA1A,0.481367664539993,False,0.49367099142919413
HSPA1B,0.359648230186892,False,0.3874063150670884
HSPA1L,0.365507471277657,False,0.39305828569557083
HTATIP2,0.0522154777730403,False,0.12162391247898402
HUS1,0.441955228594721,False,0.4561660076492136
ICAM1,0.0101327707413436,False,0.06275677747820659
ICAM3,0.0666260564564146,False,0.13978407923208555
IDH1,0.323521225569851,False,0.35748817007890593
IDH2,0.0001927226996083,True,0.011939509352781874
IDH3A,0.0983354304693568,False,0.17106527778923625
IDH3B,0.260945209546704,False,0.30626476147894693
IDH3G,0.0662811163642905,False,0.13978407923208555
IFNG,0.0001331514688639,True,0.011939509352781874
IGF1,0.271105419883589,False,0.3135788937833538
IGF1R,0.0058109099869183,False,0.05122732884273911
IGF2R,0.0005060939471855,True,0.020307019630818185
IGFBP2,0.253929488588988,False,0.3013359180667843
IGFBP7,0.570705413153976,False,0.5769966539289018
IKBKE,0.0010395841776912,True,0.025669732387605785
IL10,0.0349439842603318,False,0.10584705934542014
IL15,0.176856259217159,False,0.24243716137188795
IL6,0.209386414923355,False,0.2645139524486126
IL7,0.158018471746351,False,0.22543968635812744
ILK,0.157403879610731,False,0.2250630082630051
ITGA4,0.215192216836218,False,0.269304879549419
ITGAM,0.0065658021644078,False,0.052811410143894344
ITGB1,0.0112112234177132,False,0.06328948786118203
ITGB2,0.0193087493686896,False,0.07997003910450014
ITGB3,0.0413827654790874,False,0.11262998355740551
JAG1,0.268527415814182,False,0.3125677525961482
JAK2,0.0219755050787026,False,0.08298984859133571
JUN,0.157114791729313,False,0.2250630082630051
JUNB,0.256676679473192,False,0.3029162283488773
JUND,0.0403479549312144,False,0.11215140379288077
KAT2B,0.0235735791845286,False,0.08687066221855073
KAT5,0.423193747614398,False,0.44105582137734334
KDR,0.0544731326508841,False,0.12534677835794836
KISS1,0.662314454369406,False,0.6633477062482973
KIT,0.189225984496701,False,0.2525635801390479
KITLG,0.113246071528571,False,0.18594367754819074
KRAS,0.231868086567636,False,0.2856373862318659
LIG1,0.109009341985616,False,0.18130569314706083
LIG3,0.262514382288852,False,0.3075442215865748
LIG4,0.0740227040438492,False,0.1485015965517952
LIMK1,0.0012373941630887,True,0.027393346644929154
LTA,0.0484349617954801,False,0.11622288867920604
LTB,0.0111841261191459,False,0.06328948786118203
MAD1L1,0.379382347717247,False,0.4019199129281726
MAPK1,0.0938312829291337,False,0.16755726676299587
MCL1,0.0309560737589702,False,0.09997410963447086
MCM2,0.0173805774690154,False,0.07692094023310216
MCM3,0.224509373962606,False,0.27825293066407925
MCM4,0.0172777600837508,False,0.07692094023310216
MCM5,0.0010026507517382,True,0.025669732387605785
MDC1,0.0634977277324014,False,0.13691965584437793
MDH1,0.0717648616768599,False,0.14546685979524124
MDH1B,0.010086655353862,False,0.06275677747820659
MDH2,0.120233511309222,False,0.19174549178152617
MDM2,0.290122638490043,False,0.32734399632795713
MDM4,0.0296340550008083,False,0.0985754575674556
MEN1,0.304012739923382,False,0.34021942276143946
MET,0.0928393725402856,False,0.16652764202615197
METAP2,0.27155209990161,False,0.3135788937833538
MGMT,0.353235105843189,False,0.3817793568204164
MIF,0.0877442616842324,False,0.1642326997121784
MLH1,0.0485167198847776,False,0.11622288867920604
MLH3,0.388180438014057,False,0.4105631650824128
MMP1,0.0209589136749289,False,0.08167487499869297
MMP10,0.0165006792229788,False,0.07692094023310216
MMP11,0.460880588850432,False,0.4734165408671637
MMP12,0.0366572623745185,False,0.10612538867675923
MMP13,0.127624283664027,False,0.19696277398927112
MMP14,0.24065815311638,False,0.291073403264737
MMP2,0.052823091822829,False,0.12198714010883532
MMP3,0.0206999221298314,False,0.08167487499869297
MMP7,0.0263684067609096,False,0.091751570805074
MMP9,0.0023474779687648,True,0.03425183763515913
MMS19,0.492075177655215,False,0.5022452528690747
MPG,0.070960053055838,False,0.14508393013327386
MSH2,0.0118715700855493,False,0.06557283252555167
MSH3,0.0580509335250368,False,0.12823493026691432
MSH4,0.234280818989478,False,0.2864919729357045
MSH5,0.0101662069435101,False,0.06275677747820659
MSH6,0.177485149290946,False,0.24243716137188795
MSN,0.204177337347561,False,0.26164042031364104
MTA1,0.0084621810596606,False,0.0590513069598055
MUS81,0.001807276124362,True,0.03144903830940271
MUTYH,0.0161317609998185,False,0.07692094023310216
MYB,0.117704159086437,False,0.18907359333776105
MYC,0.317763178541079,False,0.3529480287601604
MYCL,0.0217238972450746,False,0.08298984859133571
MYCN,0.202089089345039,False,0.2606191833963361
MYH10,0.0732998457955295,False,0.14751881191451394
MYH9,0.206052630849122,False,0.26303919203382997
MYL9,0.0840429841848511,False,0.15963194037477635
MYLK,0.185897016171868,False,0.24967758238983107
NAP1L1,0.126552047289793,False,0.19637119917252283
NBN,0.133210109175526,False,0.20217704513164939
NCOA1,0.0249355373430971,False,0.08850496442700054
NCOA3,0.016847834758613,False,0.07692094023310216
NCOA6,0.059979683051485,False,0.1309760425818142
NDUFA1,0.0157473378497834,False,0.07692094023310216
NDUFA10,0.022970797235712,False,0.08573983619376224
NDUFA11,0.207317494032894,False,0.26303919203382997
NDUFA2,0.63492582262237,False,0.6389065487830118
NDUFA3,0.120960941077131,False,0.19174549178152617
NDUFA4,0.0990917557379302,False,0.17106527778923625
NDUFA5,0.004524743170942,True,0.04905084168315166
NDUFA6,0.101451377866857,False,0.17368475890805918
NDUFA8,0.0949042156429716,False,0.16831079127841928
NDUFAB1,0.0098542115299844,False,0.0626376614084157
NDUFB10,0.412887984805428,False,0.43226114662002085
NDUFB2,0.0043403542214488,True,0.04905084168315166
NDUFB3,0.0804341281154026,False,0.15414540373160737
NDUFB4,0.0482555586920837,False,0.11622288867920604
NDUFB5,0.0967989617863798,False,0.16978705679238068
NDUFB6,0.150428377914841,False,0.2194886786848362
NDUFB7,0.0481827803666935,False,0.11622288867920604
NDUFB8,0.127869247736701,False,0.19696277398927112
NDUFB9,0.102615629952731,False,0.1742836889673368
NDUFC1,0.244317926778505,False,0.293181512134206
NDUFC2,0.236192476862,False,0.2878333796859849
NDUFS1,0.0104591195631631,False,0.06277178200571161
NDUFS2,0.200072814413242,False,0.2597143860943727
NDUFS3,0.0563684934058128,False,0.12742455199483035
NDUFS4,0.0066631218405848,False,0.052811410143894344
NDUFS5,0.0068912708214875,False,0.05341783426047752
NDUFS6,0.37356405722494,False,0.3977249166474486
NDUFS7,0.101349113462471,False,0.17368475890805918
NDUFS8,0.42790339500072,False,0.4438028749442039
NDUFV1,0.130298588445336,False,0.19867025466362778
NDUFV2,0.117802861892686,False,0.18907359333776105
NDUFV3,0.28381731176427,False,0.3224338101140083
NEIL1,0.134251764496214,False,0.20327743586455047
NEIL2,0.028266522880582,False,0.09503102799346168
NEIL3,0.206471758961716,False,0.26303919203382997
